Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
3/12/2021,"53 BAUNOGE, MOUNT PLEASANT, LOUGHREA",,Galway,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/08/2021,"HILLVIEW, MULLINDARRA, CARRIGALLEN",,Leitrim,"€195,500.00",No,No,Second-Hand Dwelling house /Apartment,
19/10/2017,"15 EFFERKNOCK MANOR, TRIM, MEATH",,Meath,"€360,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2015,"58 MULBERRY AVE, BUNCRANA, DONEGAL",,Donegal,"€167,000.00",No,No,Second-Hand Dwelling house /Apartment,
5/7/2017,"55 BROOKLANDS, NUTLEY LANE, DONNYBROOK DUBLIN 4",Dublin 4,Dublin,"€361,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/8/2021,"GLENCAR, 11 ROSEVILLE TERRACE, DOUGLAS RD",,Cork,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2021,"24 LAGANARA VIEW, KENTSTOWN NAVAN, MEATH",,Meath,"€208,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/6/2012,"31 Royal Canal Bank, Phibsboro",,Dublin,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
1/6/2012,"Apt 185  Alliance Building, The Gasworks Barrow Street, South Lotts Road",,Dublin,"€175,391.57",No,No,Second-Hand Dwelling house /Apartment,
26/09/2016,"69 RATHOWEN, FERMOY, CORK",,Cork,"€179,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/1/2018,"6 KING EDWARD RD, BRAY, WICKLOW",,Wicklow,"€620,000.00",No,No,Second-Hand Dwelling house /Apartment,
8/2/2016,"18 Kribensis Manor, Williamstown Stud, Clonee",,Meath,"€132,159.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
2/9/2019,"DROMIN CARRIGATOHER, NENAGH, CARRIGATOHER",,Tipperary,"€283,000.00",No,No,Second-Hand Dwelling house /Apartment,
3/7/2019,"183 CAPTAINS RD, KIMMAGE, DUBLIN 12",Dublin 12,Dublin,"€270,000.00",No,No,Second-Hand Dwelling house /Apartment,
7/8/2019,"25 CHURCH VIEW, PORTARLINGTON, CO OFFALY",,Offaly,"€81,000.00",No,No,Second-Hand Dwelling house /Apartment,
2/3/2021,"RAPALLO, FRIAR STREET, THURLES",,Tipperary,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/04/2017,"Apartment 47 Neptune Block, Honeypark, Dun-Laoghaire",,Dublin,"€308,370.04",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
4/7/2016,"12 UILINN, MOYCULLEN, GALWAY",,Galway,"€250,000.00",No,No,Second-Hand Dwelling house /Apartment,
6/11/2020,"CAHERNACRIN, BANTRY, CO CORK",,Cork,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
8/11/2017,"DERREEN, CLONBERNE, BALLINASLOE",,Galway,"€36,000.00",No,No,Second-Hand Dwelling house /Apartment,
8/6/2018,"10 Dunville Wood, Dunville, Athlumney",,Meath,"€225,720.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
5/4/2017,"RYEDALE, BALLYCLOUGH, LIMERICK",,Limerick,"€680,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/06/2017,"SPEIRSTOWN, CLARE, DONEGAL PO",,Donegal,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/03/2017,"12 Springmount Woods, Glanmire",,Cork,"€242,290.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
23/06/2021,"24 ENNEL PARK, COOLOCK, DUBLIN 5",Dublin 5,Dublin,"€318,000.00",No,No,Second-Hand Dwelling house /Apartment,
