Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"APT 30, BLACKHALL SQ, NORTH KING ST DUBLIN 7",Dublin 7,Dublin,325000.0,No,No,Second-Hand Dwelling house /Apartment,,26,11,2021,2021-11-26
"NEW ST, BALLINROBE, MAYO",,Mayo,38000.0,No,No,Second-Hand Dwelling house /Apartment,,27,7,2016,2016-07-27
"21B Oakfield Manor, Kinlough",,Leitrim,70484.58,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,1,3,2017,2017-03-01
"8 SLANEY HOUSE, CUSTOM HOUSE SQ, MAYOR ST LOWER DUBLIN 1",Dublin 1,Dublin,307000.0,No,No,Second-Hand Dwelling house /Apartment,,29,10,2015,2015-10-29
"Garvary, Burnfoot",,Donegal,100000.0,No,No,Second-Hand Dwelling house /Apartment,,23,10,2013,2013-10-23
"GARRANANASPICK, KINSALEBEG, ARDMORE VIA YOUGHAL",,Waterford,239000.0,No,No,Second-Hand Dwelling house /Apartment,,11,12,2013,2013-12-11
"278 Ard Uisce, Whiterock Hill, Wexford",,Wexford,198237.88,Yes,Yes,New Dwelling house /Apartment,,19,7,2019,2019-07-19
"6 AVERARD WEST, TAYLORS HILL RD, GALWAY",,Galway,822500.0,No,No,Second-Hand Dwelling house /Apartment,,31,10,2019,2019-10-31
"72 DALE RD, STILLORGAN, DUBLIN",,Dublin,340000.0,Yes,No,Second-Hand Dwelling house /Apartment,,16,12,2016,2016-12-16
"39 FLORANVILLE AVE, CLONDALKIN, DUBLIN",Dublin 22,Dublin,285000.0,No,No,Second-Hand Dwelling house /Apartment,,28,10,2016,2016-10-28
"Cahernorry, Ballyneety",,Limerick,165000.0,No,No,Second-Hand Dwelling house /Apartment,,17,11,2011,2011-11-17
"11 DERHAM PARK, BALBRIGGAN, CO DUBLIN",,Dublin,180000.0,No,No,Second-Hand Dwelling house /Apartment,,15,6,2017,2017-06-15
"11 Glenbrook, Newtown Road",,Wexford,145000.0,No,No,Second-Hand Dwelling house /Apartment,,17,2,2012,2012-02-17
"2 LARAGHBEG, BALLON, CARLOW",,Carlow,195000.0,No,No,Second-Hand Dwelling house /Apartment,,3,7,2020,2020-07-03
"43 LISHEEN FIELDS, OVENS, CORK",,Cork,456000.0,No,No,Second-Hand Dwelling house /Apartment,,4,10,2021,2021-10-04
"SPRING WATER LANE, CAHERWEESHEEN, TRALEE",,Kerry,400000.0,No,No,Second-Hand Dwelling house /Apartment,,11,3,2021,2021-03-11
"55 WESTBURY WOODS, GREENVILLE LANE, ENNISCORTHY",,Wexford,85000.0,No,No,Second-Hand Dwelling house /Apartment,,12,3,2021,2021-03-12
"43 Ard Na Carraige, Edenderry",,Offaly,165969.16,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,27,5,2010,2010-05-27
"APT 24 TENTERFIELDS, BROWN STREET, DUBLIN 8",,Dublin,232000.0,No,No,Second-Hand Dwelling house /Apartment,,19,9,2018,2018-09-19
"1 Biggar Road, Walkinstown, Dublin 12",,Dublin,180000.0,No,No,Second-Hand Dwelling house /Apartment,,6,12,2012,2012-12-06
"MULLACREW, LOUTH, DUNDALK",,Louth,165000.0,No,No,Second-Hand Dwelling house /Apartment,,10,4,2019,2019-04-10
"85 Longview Avenue, Millers Glen, Swords",,Dublin,308370.0,No,Yes,New Dwelling house /Apartment,,23,11,2020,2020-11-23
"3 KILFENORA RD, KIMMAGE, DUBLIN 12",Dublin 12,Dublin,195000.0,No,No,Second-Hand Dwelling house /Apartment,,8,5,2015,2015-05-08
"43 HILLCREST DR, LUCAN, DUBLIN",,Dublin,287000.0,No,No,Second-Hand Dwelling house /Apartment,,4,6,2019,2019-06-04
"5 DUNSOGHLY WAY, RATHOATH ROAD, FINGLAS",Dublin 11,Dublin,295154.0,No,Yes,New Dwelling house /Apartment,,7,2,2020,2020-02-07
"38 THE DALES, MOYLOUGH, BALLINASLOE",,Galway,172000.0,No,No,Second-Hand Dwelling house /Apartment,,5,12,2019,2019-12-05
"SILVERWELL HOUSE, BRICKHILL WEST, CRATLOE",,Clare,96000.0,No,No,Second-Hand Dwelling house /Apartment,,30,5,2019,2019-05-30
"Ballycorrick, Ballynacally",,Clare,317000.0,No,No,Second-Hand Dwelling house /Apartment,,21,6,2012,2012-06-21
"41 Bewley Street, New Ross",,Wexford,30000.0,No,No,Second-Hand Dwelling house /Apartment,,31,7,2013,2013-07-31
