Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd
"55 Tower Hill, Ballymote",,Sligo,25000.0,No,No,Second-Hand Dwelling house /Apartment,,25,4,2014,2014-04-25
"20 OCONNELL RD, TIPPERARY, TIPPERARY",,Tipperary,25000.0,No,No,Second-Hand Dwelling house /Apartment,,27,3,2017,2017-03-27
"Walshtown, Kiltormer, Ballinasloe",,Galway,25000.0,No,No,Second-Hand Dwelling house /Apartment,,26,2,2013,2013-02-26
"RATHSLEVIN HOUSE, RATHSLEVIN, SWINFORD",,Mayo,25000.0,No,No,Second-Hand Dwelling house /Apartment,,10,8,2015,2015-08-10
"APT 1, THE FAIRGREEN, DROMORE WEST",,Sligo,25333.0,No,No,Second-Hand Dwelling house /Apartment,,30,7,2021,2021-07-30
"MAIN ST, FETHARD, TIPPERARY",,Tipperary,25333.33,No,No,Second-Hand Dwelling house /Apartment,,9,10,2018,2018-10-09
"4 COLBERT TERRACE, ABBEYFEALE, LIMERICK",,Limerick,25500.0,No,No,Second-Hand Dwelling house /Apartment,,16,7,2021,2021-07-16
"Carrowbeg, Killasser, Swinford",,Mayo,25850.0,Yes,No,Second-Hand Dwelling house /Apartment,,23,1,2013,2013-01-23
"51 MC DERMOTT TCE, MANORHAMILTON, LEITRIM",,Leitrim,26000.0,No,No,Second-Hand Dwelling house /Apartment,,24,7,2014,2014-07-24
"THE CRESCENT, BOYLE, CO ROSCOMMON",,Roscommon,26000.0,No,No,Second-Hand Dwelling house /Apartment,,21,12,2015,2015-12-21
"CRAANMORE, KILDAVIN, CO CARLOW",,Cavan,26000.0,No,No,Second-Hand Dwelling house /Apartment,,24,9,2015,2015-09-24
"BANOGUES, MOUNTBELLEW, BALLINASLOE",,Galway,26000.0,No,No,Second-Hand Dwelling house /Apartment,,5,8,2016,2016-08-05
"17 ROSEGARTH, DONNYBROOK, DOUGLAS",,Cork,26560.0,Yes,No,Second-Hand Dwelling house /Apartment,,24,2,2016,2016-02-24
"214  St. John's Park, Waterford",,Waterford,27000.0,No,No,Second-Hand Dwelling house /Apartment,,21,4,2015,2015-04-21
"newtown, nenagh",,Tipperary,27000.0,No,No,Second-Hand Dwelling house /Apartment,,2,8,2013,2013-08-02
